date,energy_index
2021-06-17,176.473
2021-06-18,176.822
2021-06-19,177.17
2021-06-20,177.518
2021-06-21,177.867
2021-06-22,178.215
2021-06-23,178.563
2021-06-24,178.912
2021-06-25,179.26
2021-06-26,179.608
2021-06-27,179.957
2021-06-28,180.305
2021-06-29,180.653
2021-06-30,181.002
2021-07-01,181.35
2021-07-02,181.429
2021-07-03,181.509
2021-07-04,181.588
2021-07-05,181.667
2021-07-06,181.747
2021-07-07,181.826
2021-07-08,181.905
2021-07-09,181.985
2021-07-10,182.064
2021-07-11,182.144
2021-07-12,182.223
2021-07-13,182.302
2021-07-14,182.382
2021-07-15,182.461
2021-07-16,182.54
2021-07-17,182.62
2021-07-18,182.699
2021-07-19,182.778
2021-07-20,182.858
2021-07-21,182.937
2021-07-22,183.016
2021-07-23,183.096
2021-07-24,183.175
2021-07-25,183.255
2021-07-26,183.334
2021-07-27,183.413
2021-07-28,183.493
2021-07-29,183.572
2021-07-30,183.651
2021-07-31,183.731
2021-08-01,183.81
2021-08-02,184.748
2021-08-03,185.685
2021-08-04,186.623
2021-08-05,187.561
2021-08-06,188.499
2021-08-07,189.436
2021-08-08,190.374
2021-08-09,191.312
2021-08-10,192.25
2021-08-11,193.187
2021-08-12,194.125
2021-08-13,195.063
2021-08-14,196.001
2021-08-15,196.938
2021-08-16,197.876
2021-08-17,198.814
2021-08-18,199.752
2021-08-19,200.689
2021-08-20,201.627
2021-08-21,202.565
2021-08-22,203.503
2021-08-23,204.44
2021-08-24,205.378
2021-08-25,206.316
2021-08-26,207.254
2021-08-27,208.191
2021-08-28,209.129
2021-08-29,210.067
2021-08-30,211.005
2021-08-31,211.942
2021-09-01,212.88
2021-09-02,214.333
2021-09-03,215.785
2021-09-04,217.238
2021-09-05,218.691
2021-09-06,220.143
2021-09-07,221.596
2021-09-08,223.049
2021-09-09,224.501
2021-09-10,225.954
2021-09-11,227.407
2021-09-12,228.859
2021-09-13,230.312
2021-09-14,231.765
2021-09-15,233.217
2021-09-16,234.67
2021-09-17,236.123
2021-09-18,237.575
2021-09-19,239.028
2021-09-20,240.481
2021-09-21,241.933
2021-09-22,243.386
2021-09-23,244.839
2021-09-24,246.291
2021-09-25,247.744
2021-09-26,249.197
2021-09-27,250.649
2021-09-28,252.102
2021-09-29,253.555
2021-09-30,255.007
2021-10-01,256.46
2021-10-02,255.79
2021-10-03,255.119
2021-10-04,254.449
2021-10-05,253.779
2021-10-06,253.108
2021-10-07,252.438
2021-10-08,251.768
2021-10-09,251.097
2021-10-10,250.427
2021-10-11,249.757
2021-10-12,249.086
2021-10-13,248.416
2021-10-14,247.746
2021-10-15,247.075
2021-10-16,246.405
2021-10-17,245.735
2021-10-18,245.065
2021-10-19,244.394
2021-10-20,243.724
2021-10-21,243.054
2021-10-22,242.383
2021-10-23,241.713
2021-10-24,241.043
2021-10-25,240.372
2021-10-26,239.702
2021-10-27,239.032
2021-10-28,238.361
2021-10-29,237.691
2021-10-30,237.021
2021-10-31,236.35
2021-11-01,235.68
2021-11-02,235.824
2021-11-03,235.967
2021-11-04,236.111
2021-11-05,236.255
2021-11-06,236.398
2021-11-07,236.542
2021-11-08,236.686
2021-11-09,236.829
2021-11-10,236.973
2021-11-11,237.117
2021-11-12,237.26
2021-11-13,237.404
2021-11-14,237.548
2021-11-15,237.691
2021-11-16,237.835
2021-11-17,237.979
2021-11-18,238.122
2021-11-19,238.266
2021-11-20,238.41
2021-11-21,238.553
2021-11-22,238.697
2021-11-23,238.841
2021-11-24,238.984
2021-11-25,239.128
2021-11-26,239.272
2021-11-27,239.415
2021-11-28,239.559
2021-11-29,239.703
2021-11-30,239.846
2021-12-01,239.99
2021-12-02,240.035
2021-12-03,240.08
2021-12-04,240.125
2021-12-05,240.169
2021-12-06,240.214
2021-12-07,240.259
2021-12-08,240.304
2021-12-09,240.349
2021-12-10,240.394
2021-12-11,240.438
2021-12-12,240.483
2021-12-13,240.528
2021-12-14,240.573
2021-12-15,240.618
2021-12-16,240.663
2021-12-17,240.707
2021-12-18,240.752
2021-12-19,240.797
2021-12-20,240.842
2021-12-21,240.887
2021-12-22,240.932
2021-12-23,240.976
2021-12-24,241.021
2021-12-25,241.066
2021-12-26,241.111
2021-12-27,241.156
2021-12-28,241.201
2021-12-29,241.245
2021-12-30,241.29
2021-12-31,241.335
2022-01-01,241.38
2022-01-02,241.982
2022-01-03,242.585
2022-01-04,243.187
2022-01-05,243.789
2022-01-06,244.391
2022-01-07,244.994
2022-01-08,245.596
2022-01-09,246.198
2022-01-10,246.8
2022-01-11,247.403
2022-01-12,248.005
2022-01-13,248.607
2022-01-14,249.209
2022-01-15,249.812
2022-01-16,250.414
2022-01-17,251.016
2022-01-18,251.618
2022-01-19,252.221
2022-01-20,252.823
2022-01-21,253.425
2022-01-22,254.027
2022-01-23,254.63
2022-01-24,255.232
2022-01-25,255.834
2022-01-26,256.436
2022-01-27,257.039
2022-01-28,257.641
2022-01-29,258.243
2022-01-30,258.845
2022-01-31,259.448
2022-02-01,260.05
2022-02-02,262.612
2022-02-03,265.174
2022-02-04,267.735
2022-02-05,270.297
2022-02-06,272.859
2022-02-07,275.421
2022-02-08,277.982
2022-02-09,280.544
2022-02-10,283.106
2022-02-11,285.668
2022-02-12,288.23
2022-02-13,290.791
2022-02-14,293.353
2022-02-15,295.915
2022-02-16,298.477
2022-02-17,301.039
2022-02-18,303.6
2022-02-19,306.162
2022-02-20,308.724
2022-02-21,311.286
2022-02-22,313.847
2022-02-23,316.409
2022-02-24,318.971
2022-02-25,321.533
2022-02-26,324.095
2022-02-27,326.656
2022-02-28,329.218
2022-03-01,331.78
2022-03-02,330.772
2022-03-03,329.764
2022-03-04,328.756
2022-03-05,327.748
2022-03-06,326.74
2022-03-07,325.732
2022-03-08,324.724
2022-03-09,323.715
2022-03-10,322.707
2022-03-11,321.699
2022-03-12,320.691
2022-03-13,319.683
2022-03-14,318.675
2022-03-15,317.667
2022-03-16,316.659
2022-03-17,315.651
2022-03-18,314.643
2022-03-19,313.635
2022-03-20,312.627
2022-03-21,311.619
2022-03-22,310.611
2022-03-23,309.603
2022-03-24,308.595
2022-03-25,307.586
2022-03-26,306.578
2022-03-27,305.57
2022-03-28,304.562
2022-03-29,303.554
2022-03-30,302.546
2022-03-31,301.538
2022-04-01,300.53
2022-04-02,300.735
2022-04-03,300.94
2022-04-04,301.145
2022-04-05,301.35
2022-04-06,301.555
2022-04-07,301.76
2022-04-08,301.965
2022-04-09,302.17
2022-04-10,302.375
2022-04-11,302.58
2022-04-12,302.785
2022-04-13,302.99
2022-04-14,303.195
2022-04-15,303.4
2022-04-16,303.605
2022-04-17,303.81
2022-04-18,304.015
2022-04-19,304.22
2022-04-20,304.425
2022-04-21,304.63
2022-04-22,304.835
2022-04-23,305.04
2022-04-24,305.245
2022-04-25,305.45
2022-04-26,305.655
2022-04-27,305.86
2022-04-28,306.065
2022-04-29,306.27
2022-04-30,306.475
2022-05-01,306.68
2022-05-02,307.372
2022-05-03,308.063
2022-05-04,308.755
2022-05-05,309.446
2022-05-06,310.138
2022-05-07,310.83
2022-05-08,311.521
2022-05-09,312.213
2022-05-10,312.905
2022-05-11,313.596
2022-05-12,314.288
2022-05-13,314.979
2022-05-14,315.671
2022-05-15,316.363
2022-05-16,317.054
2022-05-17,317.746
2022-05-18,318.437
2022-05-19,319.129
2022-05-20,319.821
2022-05-21,320.512
2022-05-22,321.204
2022-05-23,321.895
2022-05-24,322.587
2022-05-25,323.279
2022-05-26,323.97
2022-05-27,324.662
2022-05-28,325.354
2022-05-29,326.045
2022-05-30,326.737
2022-05-31,327.428
2022-06-01,328.12
2022-06-02,328.643
2022-06-03,329.166
2022-06-04,329.689
2022-06-05,330.212
2022-06-06,330.735
2022-06-07,331.258
2022-06-08,331.781
2022-06-09,332.304
2022-06-10,332.827
2022-06-11,333.35
2022-06-12,333.873
2022-06-13,334.396
2022-06-14,334.919
2022-06-15,335.442
2022-06-16,335.965
2022-06-17,336.488
2022-06-18,337.011
2022-06-19,337.534
2022-06-20,338.057
2022-06-21,338.58
2022-06-22,339.103
2022-06-23,339.626
2022-06-24,340.149
2022-06-25,340.672
2022-06-26,341.195
2022-06-27,341.718
2022-06-28,342.241
2022-06-29,342.764
2022-06-30,343.287
2022-07-01,343.81
2022-07-02,344.862
2022-07-03,345.913
2022-07-04,346.965
2022-07-05,348.016
2022-07-06,349.068
2022-07-07,350.12
2022-07-08,351.171
2022-07-09,352.223
2022-07-10,353.275
2022-07-11,354.326
2022-07-12,355.378
2022-07-13,356.429
2022-07-14,357.481
2022-07-15,358.533
2022-07-16,359.584
2022-07-17,360.636
2022-07-18,361.687
2022-07-19,362.739
2022-07-20,363.791
2022-07-21,364.842
2022-07-22,365.894
2022-07-23,366.945
2022-07-24,367.997
2022-07-25,369.049
2022-07-26,370.1
2022-07-27,371.152
2022-07-28,372.204
2022-07-29,373.255
2022-07-30,374.307
2022-07-31,375.358
2022-08-01,376.41
2022-08-02,374.918
2022-08-03,373.425
2022-08-04,371.933
